VBE	Ib(Q1)	Ic(Q1)
1.480000000000000e-01	-2.287808e-12	2.577102e-11
1.490000000000000e-01	-2.253092e-12	2.663297e-11
1.500000000000000e-01	-2.217634e-12	2.752843e-11
1.510000000000000e-01	-2.181433e-12	2.845887e-11
1.520000000000000e-01	-2.144462e-12	2.942683e-11
1.530000000000000e-01	-2.106708e-12	3.043195e-11
1.540000000000000e-01	-2.068150e-12	3.147714e-11
1.550000000000000e-01	-2.028763e-12	3.256387e-11
1.560000000000000e-01	-1.988537e-12	3.369322e-11
1.570000000000000e-01	-1.947449e-12	3.486738e-11
1.580000000000000e-01	-1.905470e-12	3.608707e-11
1.590000000000000e-01	-1.862591e-12	3.735559e-11
1.600000000000000e-01	-1.818783e-12	3.867401e-11
1.610000000000000e-01	-1.774023e-12	4.004453e-11
1.620000000000000e-01	-1.728292e-12	4.146897e-11
1.630000000000000e-01	-1.681565e-12	4.294951e-11
1.640000000000000e-01	-1.633811e-12	4.448834e-11
1.650000000000000e-01	-1.585015e-12	4.608801e-11
1.660000000000000e-01	-1.535149e-12	4.775034e-11
1.670000000000000e-01	-1.484182e-12	4.947861e-11
1.680000000000000e-01	-1.432094e-12	5.127500e-11
1.690000000000000e-01	-1.378847e-12	5.314207e-11
1.700000000000000e-01	-1.324424e-12	5.508273e-11
1.710000000000000e-01	-1.268789e-12	5.710026e-11
1.720000000000000e-01	-1.211914e-12	5.919647e-11
1.730000000000000e-01	-1.153767e-12	6.137612e-11
1.740000000000000e-01	-1.094318e-12	6.364137e-11
1.750000000000000e-01	-1.033528e-12	6.599625e-11
1.760000000000000e-01	-9.713773e-13	6.844365e-11
1.770000000000000e-01	-9.078190e-13	7.098724e-11
1.780000000000000e-01	-8.428190e-13	7.363138e-11
1.790000000000000e-01	-7.763494e-13	7.638006e-11
1.800000000000000e-01	-7.083622e-13	7.923623e-11
1.810000000000000e-01	-6.388255e-13	8.220569e-11
1.820000000000000e-01	-5.676994e-13	8.529245e-11
1.830000000000000e-01	-4.949418e-13	8.850017e-11
1.840000000000000e-01	-4.205110e-13	9.183466e-11
1.850000000000000e-01	-3.443668e-13	9.530030e-11
1.860000000000000e-01	-2.664595e-13	9.890257e-11
1.870000000000000e-01	-1.867491e-13	1.026473e-10
1.880000000000000e-01	-1.051856e-13	1.065392e-10
1.890000000000000e-01	-2.172323e-14	1.105840e-10
1.900000000000000e-01	6.369006e-14	1.147892e-10
1.910000000000000e-01	1.511022e-13	1.191594e-10
1.920000000000000e-01	2.405670e-13	1.237031e-10
1.930000000000000e-01	3.321364e-13	1.284248e-10
1.940000000000000e-01	4.258684e-13	1.333324e-10
1.950000000000000e-01	5.218188e-13	1.384334e-10
1.960000000000000e-01	6.200436e-13	1.437359e-10
1.970000000000000e-01	7.206086e-13	1.492464e-10
1.980000000000000e-01	8.235718e-13	1.549747e-10
1.990000000000000e-01	9.289991e-13	1.609297e-10
2.000000000000000e-01	1.036956e-12	1.671178e-10
2.010000000000000e-01	1.147511e-12	1.735504e-10
2.020000000000000e-01	1.260728e-12	1.802368e-10
2.030000000000000e-01	1.376687e-12	1.871863e-10
2.040000000000000e-01	1.495460e-12	1.944098e-10
2.050000000000000e-01	1.617116e-12	2.019181e-10
2.060000000000000e-01	1.741742e-12	2.097216e-10
2.070000000000000e-01	1.869420e-12	2.178332e-10
2.080000000000000e-01	2.000222e-12	2.262647e-10
2.090000000000000e-01	2.134248e-12	2.350277e-10
2.100000000000000e-01	2.271574e-12	2.441361e-10
2.110000000000000e-01	2.412297e-12	2.536037e-10
2.120000000000000e-01	2.556514e-12	2.634451e-10
2.130000000000000e-01	2.704320e-12	2.736730e-10
2.140000000000000e-01	2.855809e-12	2.843049e-10
2.150000000000000e-01	3.011089e-12	2.953550e-10
2.160000000000000e-01	3.170264e-12	3.068412e-10
2.170000000000000e-01	3.333443e-12	3.187792e-10
2.180000000000000e-01	3.500743e-12	3.311885e-10
2.190000000000000e-01	3.672280e-12	3.440865e-10
2.200000000000000e-01	3.848165e-12	3.574918e-10
2.210000000000000e-01	4.028530e-12	3.714265e-10
2.220000000000000e-01	4.213502e-12	3.859099e-10
2.230000000000000e-01	4.403208e-12	4.009634e-10
2.240000000000000e-01	4.597785e-12	4.166111e-10
2.250000000000000e-01	4.797376e-12	4.328748e-10
2.260000000000000e-01	5.002122e-12	4.497797e-10
2.270000000000000e-01	5.212174e-12	4.673502e-10
2.280000000000000e-01	5.427685e-12	4.856124e-10
2.290000000000000e-01	5.648817e-12	5.045958e-10
2.300000000000000e-01	5.875726e-12	5.243258e-10
2.310000000000000e-01	6.108585e-12	5.448337e-10
2.320000000000000e-01	6.347568e-12	5.661496e-10
2.330000000000000e-01	6.592860e-12	5.883056e-10
2.340000000000000e-01	6.844641e-12	6.113345e-10
2.350000000000000e-01	7.103105e-12	6.352709e-10
2.360000000000000e-01	7.368449e-12	6.601504e-10
2.370000000000000e-01	7.640874e-12	6.860104e-10
