vce	Ic(Q1)
1.610000000000000e-01	1.045169e-03
1.620000000000000e-01	1.050188e-03
1.630000000000000e-01	1.055087e-03
1.640000000000000e-01	1.059868e-03
1.650000000000000e-01	1.064532e-03
1.660000000000000e-01	1.069081e-03
1.670000000000000e-01	1.073517e-03
1.680000000000000e-01	1.077843e-03
1.690000000000000e-01	1.082060e-03
1.700000000000000e-01	1.086170e-03
1.710000000000000e-01	1.090174e-03
1.720000000000000e-01	1.094077e-03
1.730000000000000e-01	1.097878e-03
1.740000000000000e-01	1.101580e-03
1.750000000000000e-01	1.105186e-03
1.760000000000000e-01	1.108697e-03
1.770000000000000e-01	1.112115e-03
1.780000000000000e-01	1.115442e-03
1.790000000000000e-01	1.118680e-03
1.800000000000000e-01	1.121831e-03
1.810000000000000e-01	1.124898e-03
1.820000000000000e-01	1.127881e-03
1.830000000000000e-01	1.130783e-03
1.840000000000000e-01	1.133605e-03
1.850000000000000e-01	1.136351e-03
1.860000000000000e-01	1.139021e-03
1.870000000000000e-01	1.141617e-03
1.880000000000000e-01	1.144141e-03
1.890000000000000e-01	1.146595e-03
1.900000000000000e-01	1.148980e-03
1.910000000000000e-01	1.151298e-03
1.920000000000000e-01	1.153552e-03
1.930000000000000e-01	1.155742e-03
1.940000000000000e-01	1.157870e-03
1.950000000000000e-01	1.159938e-03
1.960000000000000e-01	1.161947e-03
1.970000000000000e-01	1.163899e-03
1.980000000000000e-01	1.165795e-03
1.990000000000000e-01	1.167638e-03
2.000000000000000e-01	1.169427e-03
2.010000000000000e-01	1.171165e-03
2.020000000000000e-01	1.172853e-03
2.030000000000000e-01	1.174493e-03
2.040000000000000e-01	1.176085e-03
2.050000000000000e-01	1.177631e-03
2.060000000000000e-01	1.179132e-03
2.070000000000000e-01	1.180590e-03
2.080000000000000e-01	1.182006e-03
2.090000000000000e-01	1.183380e-03
2.100000000000000e-01	1.184715e-03
2.110000000000000e-01	1.186010e-03
2.120000000000000e-01	1.187268e-03
2.130000000000000e-01	1.188489e-03
2.140000000000000e-01	1.189674e-03
2.150000000000000e-01	1.190825e-03
2.160000000000000e-01	1.191942e-03
2.170000000000000e-01	1.193026e-03
2.180000000000000e-01	1.194078e-03
2.190000000000000e-01	1.195100e-03
2.200000000000000e-01	1.196092e-03
2.210000000000000e-01	1.197054e-03
2.220000000000000e-01	1.197988e-03
2.230000000000000e-01	1.198895e-03
2.240000000000000e-01	1.199775e-03
2.250000000000000e-01	1.200629e-03
2.260000000000000e-01	1.201458e-03
2.270000000000000e-01	1.202262e-03
2.280000000000000e-01	1.203043e-03
2.290000000000000e-01	1.203801e-03
2.300000000000000e-01	1.204536e-03
2.310000000000000e-01	1.205250e-03
2.320000000000000e-01	1.205943e-03
2.330000000000000e-01	1.206615e-03
2.340000000000000e-01	1.207267e-03
2.350000000000000e-01	1.207901e-03
2.360000000000000e-01	1.208515e-03
2.370000000000000e-01	1.209112e-03
2.380000000000000e-01	1.209691e-03
2.390000000000000e-01	1.210253e-03
2.400000000000000e-01	1.210798e-03
2.410000000000000e-01	1.211327e-03
2.420000000000000e-01	1.211841e-03
2.430000000000000e-01	1.212340e-03
2.440000000000000e-01	1.212824e-03
2.450000000000000e-01	1.213294e-03
2.460000000000000e-01	1.213750e-03
2.470000000000000e-01	1.214192e-03
2.480000000000000e-01	1.214622e-03
2.490000000000000e-01	1.215039e-03
2.500000000000000e-01	1.215444e-03
2.510000000000000e-01	1.215836e-03
2.520000000000000e-01	1.216218e-03
2.530000000000000e-01	1.216588e-03
2.540000000000000e-01	1.216948e-03
2.550000000000000e-01	1.217297e-03
2.560000000000000e-01	1.217636e-03
2.570000000000000e-01	1.217965e-03
2.580000000000000e-01	1.218284e-03
2.590000000000000e-01	1.218594e-03
2.600000000000000e-01	1.218895e-03
2.610000000000000e-01	1.219188e-03
2.620000000000000e-01	1.219472e-03
2.630000000000000e-01	1.219747e-03
2.640000000000000e-01	1.220015e-03
2.650000000000000e-01	1.220275e-03
2.660000000000000e-01	1.220528e-03
2.670000000000000e-01	1.220773e-03
2.680000000000000e-01	1.221011e-03
2.690000000000000e-01	1.221243e-03
2.700000000000000e-01	1.221467e-03
2.710000000000000e-01	1.221686e-03
2.720000000000000e-01	1.221898e-03
2.730000000000000e-01	1.222104e-03
2.740000000000000e-01	1.222304e-03
2.750000000000000e-01	1.222498e-03
2.760000000000000e-01	1.222688e-03
2.770000000000000e-01	1.222871e-03
2.780000000000000e-01	1.223050e-03
2.790000000000000e-01	1.223223e-03
2.800000000000000e-01	1.223392e-03
2.810000000000000e-01	1.223555e-03
2.820000000000000e-01	1.223715e-03
2.830000000000000e-01	1.223869e-03
2.840000000000000e-01	1.224020e-03
2.850000000000000e-01	1.224166e-03
2.860000000000000e-01	1.224308e-03
2.870000000000000e-01	1.224447e-03
2.880000000000000e-01	1.224581e-03
2.890000000000000e-01	1.224712e-03
2.900000000000000e-01	1.224839e-03
2.910000000000000e-01	1.224963e-03
2.920000000000000e-01	1.225083e-03
